contig	edge	distance_to_edge	closest_coords	classified
CP020123.1_contig1	beginning	1	1-99	telomeric
CP020123.1_contig1	end	NA	NA	absent
CP020124.1_contig1	beginning	2	2-224	telomeric
CP020124.1_contig1	end	3	813519-813594	telomeric
CP020125.1_contig1	beginning	5	5-62	telomeric
CP020125.1_contig1	end	1	341519-341579	telomeric
CP020126.1_contig1	beginning	2	2-87	telomeric
CP020126.1_contig1	end	0	1566646-1566853	telomeric
CP020127.1_contig1	beginning	19	19-79	telomeric
CP020127.1_contig1	end	8	582803-583084	telomeric
CP020128.1_contig1	beginning	4	4-162	telomeric
CP020128.1_contig1	end	1	271321-271538	telomeric
CP020129.1_contig1	beginning	5	5-151	telomeric
CP020129.1_contig1	end	0	1091390-1091538	telomeric
CP020130.1_contig1	beginning	4	4-281	telomeric
CP020130.1_contig1	end	2	580963-581047	telomeric
CP020131.1_contig1	beginning	NA	NA	absent
CP020131.1_contig1	end	6	439906-440030	telomeric
CP020132.1_contig1	beginning	1	1-102	telomeric
CP020132.1_contig1	end	NA	NA	absent
CP020133.1_contig1	beginning	2	2-68	telomeric
CP020133.1_contig1	end	10	666622-666852	telomeric
CP020134.1_contig1	beginning	37	37-100	telomeric
CP020134.1_contig1	end	NA	NA	absent
CP020134.1_contig2	beginning	NA	NA	absent
CP020134.1_contig2	end	3754	602802-602820	distant
CP020135.1_contig1	beginning	1	1-30	telomeric
CP020135.1_contig1	end	6	930468-930500	telomeric
CP020136.1_contig1	beginning	1	1-42	telomeric
CP020136.1_contig1	end	9	777578-777606	telomeric
CP020137.1_contig1	beginning	18	18-66	telomeric
CP020137.1_contig1	end	0	1091330-1091343	telomeric
CP020138.1_contig1	beginning	2	2-36	telomeric
CP020138.1_contig1	end	8	954293-954449	telomeric
CP020139.1_contig1	beginning	NA	NA	absent
CP020139.1_contig1	end	NA	NA	absent
